Symbol Open High Low LTP Chng % Chng 
ASIANPAINT 3,101.00 3,167.35 3,091.00 3,138.00 -6.25 -0.2 
AXISBANK 669 674.9 660.45 661 -18.9 -2.78 
BAJAJ-AUTO 3,370.00 3,383.50 3,320.00 3,335.00 -56.7 -1.67 
BRITANNIA 3,560.00 3,635.10 3,533.95 3,566.60 -6.8 -0.19 
CIPLA 892 976.05 890.65 965 65.05 7.23 
COALINDIA 157.75 159.4 155.35 155.9 -2.65 -1.67 
DIVISLAB 4,770.00 5,077.70 4,756.75 4,940.00 140.2 2.92 
DRREDDY 4,580.00 4,820.00 4,576.15 4,750.00 158.4 3.45 
HCLTECH 1,120.00 1,126.00 1,103.30 1,111.65 -13.15 -1.17 
HDFCBANK 1,500.00 1,506.70 1,485.00 1,489.50 -36.45 -2.39 
HDFCLIFE 685 689 667.1 669.75 -19.05 -2.77 
HEROMOTOCO 2,580.00 2,589.70 2,505.15 2,526.80 -67.9 -2.62 
HINDUNILVR 2,344.00 2,365.00 2,325.20 2,340.90 -8.15 -0.35 
INFY 1,702.55 1,718.35 1,684.00 1,689.55 -32.85 -1.91 
NESTLEIND 19,148.85 19,434.10 18,982.50 19,250.00 71.95 0.38 
POWERGRID 204.05 204.95 200.8 202.5 -1.75 -0.86 
SBILIFE 1,154.00 1,154.00 1,105.25 1,130.85 -28.65 -2.47 
SHREECEM 26,450.00 26,539.90 25,812.00 25,900.00 -770.5 -2.89 
SUNPHARMA 775 798.9 762 767.25 -15.65 -2 
TCS 3,425.00 3,490.00 3,411.90 3,439.20 -6.7 -0.19 
TECHM 1,544.00 1,550.00 1,510.15 1,519.00 -40.35 -2.59 
ULTRACEMCO 7,550.00 7,599.00 7,370.10 7,398.45 -210.35 -2.76 
WIPRO 632 634.4 619.65 621.3 -15.4 -2.42 
